time_of_day,route,stop_id,stop_name,direction,min_load,max_load,avg_load,stop_id,lat,long,us_housing_units_no_vehicle_po,us_housing_units_no_vehicle,us_population_low_income_po,us_population_low_income,population_density,us_population,us_population_eighteen_to_twenty_four_years_old,us_population_eighteen_to_twenty_four_years_old_po,us_population_twenty_five_to_sixty_four_years_old_po,us_population_twenty_five_to_sixty_four_years_old,latitude,longitude,stop_rank
Evening,12.0,3008.0, 2ND ST&FOLSOM ST S-FS/BZ,Outbound,17.0,22.0,18.6666666666667,37.78,122.4,0.495792426367,1426.0,0.378176382661,2007.0,8201.0,2007.0,0.0677628300947,2007.0,0.625809666168,2007.0,37.78589,122.39747,1
Evening,10.0,3008.0, 2ND ST&FOLSOM ST S-FS/BZ,Outbound,18.0,66.0,44.8571428571429,37.78,122.4,0.495792426367,1426.0,0.378176382661,2007.0,8201.0,2007.0,0.0677628300947,2007.0,0.625809666168,2007.0,37.78589,122.39747,1
Evening,10.0,3009.0, 2ND ST&HARRISON ST N-FS/BZ,Inbound,14.0,46.0,34.0,37.78,122.4,0.495792426367,1426.0,0.378176382661,2007.0,8201.0,2007.0,0.0677628300947,2007.0,0.625809666168,2007.0,37.78481,122.3957,1
Morning,10.0,3009.0, 2ND ST&HARRISON ST N-FS/BZ,Inbound,33.0,64.0,50.5714285714286,37.78,122.4,0.495792426367,1426.0,0.378176382661,2007.0,8201.0,2007.0,0.0677628300947,2007.0,0.625809666168,2007.0,37.78481,122.3957,1
Morning,10.0,3010.0, 2ND ST&HARRISON ST S-FS/BZ,Outbound,20.0,43.0,29.75,37.78,122.4,0.495792426367,1426.0,0.378176382661,2007.0,8201.0,2007.0,0.0677628300947,2007.0,0.625809666168,2007.0,37.78689,122.39963,1
Evening,10.0,3010.0, 2ND ST&HARRISON ST S-FS/BZ,Outbound,18.0,67.0,44.0,37.78,122.4,0.495792426367,1426.0,0.378176382661,2007.0,8201.0,2007.0,0.0677628300947,2007.0,0.625809666168,2007.0,37.78689,122.39963,1
Morning,10.0,3011.0, 2ND ST&HOWARD ST S-FS/BZ,Outbound,32.0,47.0,38.6666666666667,37.79,122.39,0.16803760282,1702.0,0.236923076923,2600.0,8201.0,2600.0,0.0811538461538,2600.0,0.846923076923,2600.0,37.79011,122.3987,1
Morning,12.0,3011.0, 2ND ST&HOWARD ST S-FS/BZ,Outbound,23.0,43.0,29.5,37.79,122.39,0.16803760282,1702.0,0.236923076923,2600.0,8201.0,2600.0,0.0811538461538,2600.0,0.846923076923,2600.0,37.79011,122.3987,1
Evening,12.0,3011.0, 2ND ST&HOWARD ST S-FS/BZ,Outbound,16.0,22.0,18.3333333333333,37.79,122.39,0.16803760282,1702.0,0.236923076923,2600.0,8201.0,2600.0,0.0811538461538,2600.0,0.846923076923,2600.0,37.79011,122.3987,1
Evening,10.0,3011.0, 2ND ST&HOWARD ST S-FS/BZ,Outbound,18.0,65.0,43.5714285714286,37.79,122.39,0.16803760282,1702.0,0.236923076923,2600.0,8201.0,2600.0,0.0811538461538,2600.0,0.846923076923,2600.0,37.79011,122.3987,1
